Date,TB3MS,TB6MS,GS1,GS3,GS5,GS7,GS10
2/1/1973,5.6,5.83,6.19,6.58,6.6,6.6,6.64
3/1/1973,6.09,6.51,6.85,6.86,6.8,6.76,6.71
4/1/1973,6.26,6.52,6.85,6.78,6.67,6.67,6.67
5/1/1973,6.36,6.62,6.89,6.83,6.8,6.83,6.85
6/1/1973,7.19,7.23,7.31,6.84,6.69,6.81,6.9
7/1/1973,8.01,8.12,8.39,7.54,7.33,7.23,7.13
8/1/1973,8.67,8.65,8.82,7.89,7.63,7.52,7.4
9/1/1973,8.29,8.45,8.31,7.25,7.05,7.08,7.09
10/1/1973,7.22,7.32,7.4,6.81,6.77,6.78,6.79
11/1/1973,7.83,7.96,7.57,7,6.92,6.89,6.73
12/1/1973,7.45,7.56,7.27,6.81,6.8,6.77,6.74
1/1/1974,7.77,7.65,7.42,6.96,6.95,6.88,6.99
2/1/1974,7.12,6.96,6.88,6.76,6.82,6.92,6.96
3/1/1974,7.96,7.83,7.76,7.35,7.31,7.34,7.21
4/1/1974,8.33,8.32,8.62,8.05,7.92,7.77,7.51
5/1/1974,8.23,8.4,8.78,8.27,8.18,7.93,7.58
6/1/1974,7.9,8.12,8.67,8.15,8.1,7.9,7.54
7/1/1974,7.55,7.94,8.8,8.41,8.38,8.19,7.81
8/1/1974,8.96,9.11,9.36,8.66,8.63,8.41,8.04
9/1/1974,8.06,8.53,8.87,8.41,8.37,8.25,8.04
10/1/1974,7.46,7.74,8.05,8,7.97,7.92,7.9
11/1/1974,7.47,7.52,7.66,7.61,7.68,7.68,7.68
12/1/1974,7.15,7.11,7.31,7.24,7.31,7.38,7.43
1/1/1975,6.26,6.36,6.83,7.23,7.41,7.45,7.5
2/1/1975,5.5,5.62,5.98,6.65,7.11,7.3,7.39
3/1/1975,5.49,5.62,6.11,6.81,7.3,7.58,7.73
4/1/1975,5.61,6,6.9,7.76,7.99,8.1,8.23
5/1/1975,5.23,5.59,6.39,7.39,7.72,7.9,8.06
6/1/1975,5.34,5.61,6.29,7.17,7.51,7.69,7.86
7/1/1975,6.13,6.5,7.11,7.72,7.92,7.99,8.06
8/1/1975,6.44,6.94,7.7,8.16,8.33,8.37,8.4
9/1/1975,6.42,6.92,7.75,8.29,8.37,8.39,8.43
10/1/1975,5.96,6.25,6.95,7.81,7.97,8.06,8.14
11/1/1975,5.48,5.8,6.49,7.46,7.8,7.98,8.05
12/1/1975,5.44,5.85,6.6,7.43,7.76,7.93,8
1/1/1976,4.87,5.14,5.81,6.99,7.46,7.67,7.74
2/1/1976,4.88,5.2,5.91,7.06,7.45,7.72,7.79
3/1/1976,5,5.44,6.21,7.13,7.49,7.65,7.73
4/1/1976,4.86,5.18,5.92,6.84,7.25,7.44,7.56
5/1/1976,5.2,5.62,6.4,7.27,7.59,7.77,7.9
6/1/1976,5.41,5.77,6.52,7.31,7.61,7.75,7.86
7/1/1976,5.23,5.53,6.2,7.12,7.49,7.7,7.83
8/1/1976,5.14,5.4,6,6.86,7.31,7.58,7.77
9/1/1976,5.08,5.3,5.84,6.66,7.13,7.41,7.59
10/1/1976,4.92,5.06,5.5,6.24,6.75,7.16,7.41
11/1/1976,4.75,4.88,5.29,6.09,6.52,6.86,7.29
12/1/1976,4.35,4.51,4.89,5.68,6.1,6.37,6.87
1/1/1977,4.62,4.83,5.29,6.22,6.58,6.92,7.21
2/1/1977,4.67,4.9,5.47,6.44,6.83,7.16,7.39
3/1/1977,4.6,4.88,5.5,6.47,6.93,7.2,7.46
4/1/1977,4.54,4.8,5.44,6.31,6.79,7.11,7.37
5/1/1977,4.96,5.2,5.84,6.55,6.94,7.26,7.46
6/1/1977,5.02,5.21,5.8,6.39,6.76,7.05,7.28
7/1/1977,5.19,5.4,5.94,6.51,6.84,7.12,7.33
8/1/1977,5.49,5.83,6.37,6.79,7.03,7.24,7.4
9/1/1977,5.81,6.04,6.53,6.84,7.04,7.21,7.34
10/1/1977,6.16,6.43,6.97,7.19,7.32,7.44,7.52
11/1/1977,6.1,6.41,6.95,7.22,7.34,7.46,7.58
12/1/1977,6.07,6.4,6.96,7.3,7.48,7.59,7.69
1/1/1978,6.44,6.7,7.28,7.61,7.77,7.86,7.96
2/1/1978,6.45,6.74,7.34,7.67,7.83,7.94,8.03
