Price,Dividend,DATE,log_div_grow
118.40,3.16,,
114.20,3.16,2/1/1973,0.002108
112.40,3.17,3/1/1973,0.002106
110.30,3.19,4/1/1973,0.005245
107.20,3.20,5/1/1973,0.005214
104.80,3.22,6/1/1973,0.005190
105.80,3.24,7/1/1973,0.005164
103.80,3.25,8/1/1973,0.005134
105.60,3.27,9/1/1973,0.005111
109.80,3.31,10/1/1973,0.011152
102.00,3.34,11/1/1973,0.011026
94.78,3.38,12/1/1973,0.010908
96.11,3.40,1/1/1974,0.005900
93.45,3.42,2/1/1974,0.005865
97.44,3.44,3/1/1974,0.005831
92.46,3.46,4/1/1974,0.005797
89.67,3.48,5/1/1974,0.005764
89.79,3.50,6/1/1974,0.005731
79.31,3.53,7/1/1974,0.008535
76.03,3.56,8/1/1974,0.008463
68.12,3.59,9/1/1974,0.008392
69.44,3.59,10/1/1974,0.000927
71.74,3.60,11/1/1974,0.000929
67.07,3.60,12/1/1974,0.000925
72.56,3.62,1/1/1975,0.006460
80.10,3.65,2/1/1975,0.006421
83.78,3.67,3/1/1975,0.006377
84.72,3.68,4/1/1975,0.003626
90.10,3.70,5/1/1975,0.003615
92.40,3.71,6/1/1975,0.003599
92.49,3.71,7/1/1975,0.000000
85.71,3.71,8/1/1975,0.000000
84.67,3.71,9/1/1975,0.000000
88.57,3.70,10/1/1975,-0.002699
90.07,3.69,11/1/1975,-0.002706
88.70,3.68,12/1/1975,-0.002714
96.86,3.68,1/1/1976,0.000904
100.60,3.69,2/1/1976,0.000906
101.10,3.69,3/1/1976,0.000903
101.90,3.71,4/1/1976,0.006303
101.20,3.74,5/1/1976,0.006266
101.80,3.76,6/1/1976,0.006224
104.20,3.79,7/1/1976,0.007947
103.30,3.82,8/1/1976,0.007884
105.50,3.85,9/1/1976,0.007823
101.90,3.92,10/1/1976,0.017169
101.20,3.98,11/1/1976,0.016876
104.70,4.05,12/1/1976,0.016599
103.80,4.10,1/1/1977,0.011458
101.00,4.14,2/1/1977,0.011325
100.60,4.19,3/1/1977,0.011201
99.05,4.25,4/1/1977,0.013434
98.76,4.30,5/1/1977,0.013254
99.29,4.36,6/1/1977,0.013083
100.20,4.41,7/1/1977,0.010647
97.75,4.45,8/1/1977,0.010533
96.23,4.50,9/1/1977,0.010425
93.74,4.56,10/1/1977,0.012515
94.28,4.61,11/1/1977,0.012358
93.82,4.67,12/1/1977,0.012209
90.25,4.71,1/1/1978,0.009236
88.98,4.76,2/1/1978,0.009153
88.82,4.80,3/1/1978,0.009068
92.71,4.84,4/1/1978,0.007611
97.41,4.87,5/1/1978,0.007551
97.66,4.91,6/1/1978,0.007496
97.19,4.95,7/1/1978,0.007441
103.90,4.98,8/1/1978,0.007384
103.90,5.02,9/1/1978,0.007332
100.60,5.04,10/1/1978,0.003315
94.71,5.05,11/1/1978,0.003302
96.11,5.07,12/1/1978,0.003293
99.71,5.11,1/1/1979,0.008510
98.23,5.16,2/1/1979,0.008440
100.10,5.20,3/1/1979,0.008368
102.10,5.25,4/1/1979,0.008935
99.73,5.29,5/1/1979,0.008854
101.70,5.34,6/1/1979,0.008778
102.70,5.40,7/1/1979,0.010556
107.40,5.45,8/1/1979,0.010444
108.60,5.51,9/1/1979,0.010338
104.50,5.56,10/1/1979,0.008434
103.70,5.60,11/1/1979,0.008362
107.80,5.65,12/1/1979,0.008294
110.90,5.70,1/1/1980,0.008811
115.30,5.75,2/1/1980,0.008734
104.70,5.80,3/1/1980,0.008658
103.00,5.85,4/1/1980,0.008014
107.70,5.89,5/1/1980,0.007949
114.60,5.94,6/1/1980,0.007888
119.80,5.98,7/1/1980,0.007268
123.50,6.03,8/1/1980,0.007217
126.50,6.07,9/1/1980,0.007164
130.20,6.10,10/1/1980,0.004930
135.70,6.13,11/1/1980,0.004906
133.50,6.16,12/1/1980,0.004882
133.00,6.20,1/1/1981,0.006473
128.40,6.24,2/1/1981,0.006431
133.20,6.28,3/1/1981,0.006390
134.40,6.32,4/1/1981,0.005822
131.70,6.35,5/1/1981,0.005787
132.30,6.39,6/1/1981,0.005755
129.10,6.43,7/1/1981,0.006758
129.60,6.48,8/1/1981,0.006714
